255,0,0,2500
0,0,0,100
50,255,0,3300
255,0,0,50
0,0,0,1000
255,0,0,900
75,255,0,900
255,0,0,900
75,255,0,900
255,0,0,900
75,255,0,900
255,0,0,900
75,255,0,900
255,0,0,900
75,255,0,900
255,0,0,900
75,255,0,900
255,0,0,900
75,255,0,900
255,0,0,900
75,255,0,900
255,0,0,900
75,255,0,900
255,0,0,900
75,255,0,900
255,0,0,900
75,255,0,900
255,0,0,900
75,255,0,900
255,0,0,900
75,255,0,900
255,0,0,900
75,255,0,900
255,0,0,900
75,255,0,900
255,0,0,900
75,255,0,900
255,0,0,900
75,255,0,900
255,0,0,900
75,255,0,900
255,0,0,900
75,255,0,900
255,0,0,900
75,255,0,900
255,0,0,900
0,0,0,1100
255,180,0,300
