255,0,0,2500
0,0,0,100
50,255,0,1500
25,125,0,1800
255,0,0,50
0,0,0,1500
255,149,0,230
100,60,0,230
0,0,0,50
125,75,0,230
0,0,0,230
255,149,0,230
255,149,0,400
100,60,0,400
255,0,0,400
0,0,0,500
255,0,0,230
150,0,0,230
100,0,0,230
100,0,0,230
70,0,0,230
30,0,0,230
10,0,0,230
0,0,0,100
100,100,100,1800
0,0,0,900
1,1,1,100
0,0,0,100
10,5,0,230
70,23,0,230
120,60,0,230
180,90,0,230
255,140,0,1000
0,0,0,100
10,5,0,230
70,23,0,230
120,60,0,230
180,90,0,230
255,0,0,900
75,255,0,900
255,0,0,110
255,0,0,400
75,255,0,200
255,0,0,600
75,255,0,1000
75,255,0,200
0,0,0,200
75,255,0,200
0,0,0,1000
10,255,0,200
20,255,0,200
30,255,0,200
40,255,0,200
50,255,0,200
60,255,0,200
70,255,0,200
80,255,0,200
90,255,0,200
100,255,0,200
110,255,0,200
120,255,0,200
130,255,0,200
0,0,0,1000
100,0,0,100
0,0,0,800
0,100,0,100
0,0,0,800
0,0,100,100
0,0,0,800
100,0,0,100
0,0,0,800
0,100,0,100
0,0,0,800
0,0,100,100
0,0,0,800
100,0,0,100
0,0,0,200
0,100,0,100
0,0,0,200
0,0,100,100
0,0,0,200
50,0,0,1500
0,0,0,70
100,0,0,1500
0,0,0,70
130,0,0,1500
0,0,0,70
175,0,0,1500
0,0,0,70
150,50,0,400
0,0,0,400
150,50,0,400
0,0,0,400
150,50,0,400
0,0,0,400
150,50,0,400
0,0,0,2500
255,160,0,500
150,112,0,50
10,6,0,150
1,1,0,2700
0,0,0,100
75,255,0,900
255,0,0,900
75,255,0,900
255,0,0,900
75,255,0,900
255,0,0,900
75,255,0,900
255,0,0,900
75,255,0,900
255,0,0,900
75,255,0,900
255,0,0,900
0,0,0,2300
255,255,0,600
0,0,0,300
255,255,0,600
0,0,0,300
